0,1,2,3
Santa Barbara County Sheriff’s Office,CA,1-5,“We do not use Clearview AI. We reviewed this program with a free trial and have chosen not to move forward with subscription or purchase.” —sheriff’s office spokesperson
Santa Barbara Police Department,CA,1-5,"“We do not use facial recognition. The Investigations Bureau does not have records [of Clearview AI use].” —Anthony Wagner, public engagement manager"
Santa Clara County District Attorney’s Office,CA,11-50,"“We don’t use it... It’s my understanding that one of our people did a test run in March of this year. We tested the software and decided as an Office not to use it.” —Sean Webby, spokesperson"
Santa Clara County Sheriff’s Office,CA,6-10,"“The Sheriff’s Office does not use Clearview AI. I followed up on your inquiry and our management is not aware of any of our detectives utilizing such software, and if you have evidence to the contrary, please send it to us for investigation.” —Sgt. Michael Low, public information officer"
Santa Cruz County,CA,11-50,This organization did not respond to a request for comment.
Santa Cruz Police Department,CA,11-50,"“The Santa Cruz Police Department does not use Clearview AI.” —Joyce Blaschke, spokesperson"
Santa Maria Police Department,CA,6-10,“We reached out to our lieutenants to see if anyone knows about this and no one has any idea what I’m talking about.” —Lt. Paul Van Meel
Santa Monica Police Department,CA,101-500,"“The Santa Monica Police Department does not own and has never owned the Clearview AI technology. We are also not currently using it within our jurisdiction. Our department had a couple officers who signed up for a free trial, but we directed to cease its use by the commanding officer when made aware. There is no indication that any information that may have been drawn from the software by the Santa Monica Police Department during the free trial led to any arrest or helped further any investigation in our community. The Santa Monica Police Department does have an officer assigned full-time to a task force group who has previously signed up for the free trial as a part of that regional taskforce group. That officer reported that the free trial did not lead to any arrest. The officer is no longer using the technology.” —Lt. Joseph Cortez, public information officer"
Seal Beach Police Department,CA,11-50,"“I checked with all personnel from our agency and there was only one reported user. The user utilized a trial version of the software and conducted approximately 2-3 searches. They were not used for any active investigation.” —Nick Nicholas, public information officer"
Sonoma County Sheriff’s Office,CA,11-50,This organization did not respond to a request for comment.
Stanislaus County Sheriff’s Deparment,CA,11-50,"“The department has no records related to your request.” —Thomas Boze, county counsel"
State Center Community College District Police Department,CA,1-5,This organization did not respond to a request for comment.
Stockton Police Department,CA,11-50,"“One officer said someone tried to demo it and he said he never used it and was only one.” —Eric Jones, police chief"
Sunnyvale Department of Public Safety,CA,11-50,"“The Sunnyvale Department of Public Safety does not have any responsive record to provide for your inquiry pertaining to documentation, reports, files, or media, detailing the use of facial recognition surveillance technology by the Sunnyvale Department of Public Safety.” —Capt. Daniel Pistor"
Tulare County Sheriff’s Office,CA,101-500,This organization did not respond to a request for comment.
Tustin Police Department,CA,51-100,This organization did not respond to a request for comment.
Union City Police Department,CA,11-50,"“I don’t believe we have used Clearview directly. There might be a possibility that one of our software’s or outsider vendor could, but not to our knowledge...A small number (4-6) of officers/detectives have used the free trial run of Clearview AI. They are not still using it and their use did not lead to an arrest.” —Capt. Victor Derting"
University of California San Diego Police Department,CA,6-10,"“Two non-sworn UC San Diego Police Department employees attended a crime analysis conference about two years ago where this solution was presented to the conference attendees. They created accounts as part of the demonstration and looked at the software. That was extent of the university’s involvement. After looking at it, the Police Department determined they didn’t have an application for it and did not use it further. It is standard practice for the Police Department to review products of a Law Enforcement/Security nature. No one is currently using Clearview AI in the UC San Diego Police Department.” —Leslie Sepuka, associate communications director"
Vacaville Police Department,CA,11-50,“The Probation Department has no records responsive to this request.” —department spokesperson
Vallejo Police Department,CA,11-50,This organization did not respond to a request for comment.
Ventura County Sheriff’s Office,CA,1-5,"“I checked with Crime Analysis and was told we didn’t use the service.” —Jennifer Casillas, program assistant for the internal affairs unit"
West Covina Police Department,CA,11-50,"“I am not sure where you got your information from, but I spoke to our criminal analyst and we have never used the system Clearview AI ... If the officers did it in their own we will not be able to find that data out without having access to that account.” —Chastin Tedesco, training manager"
Westminster Police Department,CA,1-5,"“Preliminarily, it appears two employees did sign up for the trial, unbeknownst to management. The use was minimal and at this point no cases were impacted. A training reminder was authored by my unit prohibiting such activity. We are not using Clearview nor do we plan to in the future.” —Cmdr. Cameron Knauerhaze"
Woodland Police Department,CA,11-50,"“The Woodland Police Department has not used Clearview AI within the past two years. We have only vaguely heard of the program, but no one currently in our agency has utilized it. It may be possible that employees that tried it are no longer working here (if that is the case). We have had several retirements in the past year.” —Trista Kennedy, executive assistant"
Yuba City Police Department,CA,6-10,"“We had a detective, who is part time and does cold cases for us, who went to a facial recognition technology school about a year and a half ago and Clearview was part of that. He said he was trying to match two photos of a suspect, an age progressed type of situation, and that the program didnt work, it didn’t do that type of searching, so he didnt use it again.” —Robert Landon, police chief"
Arvada Police Department,CO,1-5,"“We briefly looked at the Clearview AI application as an investigative tool. We did not find it useful and consequently, Clearview AI is not sanctioned for use. We have had no instances of arrests related to this application.” —David Snelling, public information officer"
Brighton Police Department,CO,6-10,This organization did not respond to a request for comment.
Commerce City Police Department,CO,6-10,This organization did not respond to a request for comment.
Delta Police Department,CO,1-5,“We at the Delta Police Department (Colorado) have not utilized the Clearview AI system or software for any purpose including facial recognition.” —Cmdr. Jesse Cox
Denver Sheriff Department,CO,11-50,"“The Denver Sheriff Department does not use this software.” —Daria Serna, communications director"
Douglas County Sheriff’s Office,CO,11-50,This organization did not respond to a request for comment.
El Paso County Sheriff’s Office,CO,6-10,"“The El Paso County Sheriff’s Office did receive a demo from Clearview AI on January 23, 2020. It was overseen by a supervisor and we determined that the tool was cost prohibitive and there were concerns with the use of facial recognition technology, so we did not move forward. We did run photographs through the system, but they were stock photos from internet to determine if the tool was even viable. No case evidence/information was used. We are very particular in vetting our vendors and will never provide live case information to a vendor unless we already have a non-disclosure agreement or contract with the entity. We take our case security and personal privacy seriously.” —Jacqueline Kirby, media relations manager"
Fort Collins Police Services,CO,6-10,"“I have not been able to identify any FCPS users of this software.” —Kate Kimble, public relations manager"
Garfield County Sheriff’s Office,CO,1-5,This organization did not respond to a request for comment.
Larimer County Sheriff’s Office,CO,11-50,This organization did not respond to a request for comment.
Lone Tree Police Department,CO,11-50,This organization did not respond to a request for comment.
Longmont Police Department,CO,11-50,"“As a general rule Longmont Public Safety does not comment on which technologies we do or not [employ] to safeguard investigation techniques.” —Robin Ericson, communications and marketing manager"
Monument Police Department,CO,101-500,This organization did not respond to a request for comment.
Park County Sheriff’s Office,CO,1-5,This organization did not respond to a request for comment.
Pueblo County Sheriff’s Office,CO,6-10,This organization did not respond to a request for comment.
Vail Police Department,CO,1-5,"“We sat in on a demonstration approximately 2 years ago but I’m not sure what the name of the company was. The product was not purchased, tested or deployed.” —Cmdr. Ryan Kenney"
Avon Police Department,CT,11-50,"“[Officers] learned of it through a training class.” —James Rio, director of police services"
Branford Police Department,CT,11-50,This organization did not respond to a request for comment.
Bridgeport Police Department,CT,101-500,This organization did not respond to a request for comment.
Bristol Police Department,CT,11-50,This organization did not respond to a request for comment.
Connecticut Intelligence Center,CT,11-50,This organization did not respond to a request for comment.
Connecticut Office of Adult Probation Services,CT,51-100,This organization did not respond to a request for comment.
Danbury Police Department,CT,101-500,"“We have not used Clearview AI.” —Mark Williams, detective"
East Haven Police Department,CT,51-100,This organization did not respond to a request for comment.
Enfield Police Department,CT,11-50,This organization did not respond to a request for comment.
Farmington Police Department,CT,1-5,"“We do not have facial recognition technology and I don’t know of any Farmington uses.” —Paul J. Melanson, police chief"
Glastonbury Police Department,CT,11-50,This organization did not respond to a request for comment.
Greenwich Police Department,CT,101-500,This organization did not respond to a request for comment.
Guilford Police Department,CT,11-50,This organization did not respond to a request for comment.
Hamden Police Department,CT,11-50,This organization did not respond to a request for comment.
Hartford Police Department,CT,101-500,This organization did not respond to a request for comment.
Madison Police Department,CT,11-50,This organization did not respond to a request for comment.
Manchester Police Department,CT,11-50,This organization did not respond to a request for comment.
Mashantucket Pequot Tribal Police Department,CT,51-100,This organization did not respond to a request for comment.
Middletown Police Department,CT,11-50,This organization did not respond to a request for comment.
Naugatuck Police Department,CT,6-10,“I am sorry to inform you that our department merely scheduled a meeting to get a product demo with Clearview AI and decided against purchasing the software at this time due to budgetary reasons.” —Lt. Antonio Bastos
New Canaan Police Department,CT,11-50,This organization did not respond to a request for comment.
New Haven Police Department,CT,11-50,This organization did not respond to a request for comment.
Newington Police Department,CT,11-50,This organization did not respond to a request for comment.
North Branford Police Department,CT,11-50,This organization did not respond to a request for comment.
North Haven Police Department,CT,1-5,This organization did not respond to a request for comment.
Southern Connecticut State University,CT,101-500,This organization did not respond to a request for comment.
Stamford Police Department,CT,101-500,"“In July 2019 a victim was beaten unconscious and robbed by a male escort. Investigators used Clearview facial rec on the image from the internet escort profile of the suspect. Clearview returned a possible match from an image of a Washington Police Metro wanted poster for an unarmed kidnapping. The wanted flyer had a photo of their suspect whose identity was unknown at the time of its distribution. Stamford investigators contacted Washington Metro and learned that they had since identified their suspect.” —Thomas Wuennemann, assistant police chief"
State of Connecticut,CT,501-1000,This organization did not respond to a request for comment.
Stratford Police Department,CT,11-50,This organization did not respond to a request for comment.
Torrington Police Department,CT,101-500,"“We had purchased the tool in the beginning of the year, however with the pandemic and everyone wearing face masks we have not had an opportunity to use it and therefore will most likely not be renewing the contract in the upcoming year.” —Lt. Brett Johnson"
Waterbury Police Department,CT,11-50,This organization did not respond to a request for comment.
West Hartford Police Department,CT,51-100,This organization did not respond to a request for comment.
West Haven Police Department,CT,6-10,This organization did not respond to a request for comment.
Westport Police Department,CT,1-5,This organization did not respond to a request for comment.
Wethersfield Division of Police,CT,11-50,"“I understand some of my officers have tried the software with good results but I have not authorized the purchase of any software of this nature.” —James Cetran, police chief"
Wilton Police Department,CT,51-100,This organization did not respond to a request for comment.
Metropolitan Police Department of the District of Columbia,DC,51-100,"“MPD does not use Clearview AI facial recognition software.” —Kristen Metzger, deputy communications director"
Delaware State Police,DE,501-1000,“At this time we are unable to provide comment to your questions.” —Sgt. Darren Lester
Middletown Police Department,DE,11-50,This organization did not respond to a request for comment.
New Castle County Police Department,DE,501-1000,This organization did not respond to a request for comment.
Newport Police Department,DE,1-5,"“We have not used this program.” —Mark Wohner, police chief"
Wilmington Police Department,DE,101-500,This organization did not respond to a request for comment.
Amtrak Police,FED,11-50,This organization did not respond to a request for comment.
"Bureau of Alcohol, Tobacco, Firearms, And Explosives (ATF)",FED,1001-5000,"“ATF does not discuss investigative techniques; therefore, I can neither confirm, nor deny, the use of this particular technology.” —April Langwell, spokesperson"
"Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF): Chicago",FED,101-500,"“ATF does not discuss investigative techniques; therefore, I can neither confirm, nor deny, the use of this particular technology.” —April Langwell, spokesperson"
"Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF): Milwaukee",FED,11-50,"“ATF does not discuss investigative techniques; therefore, I can neither confirm, nor deny, the use of this particular technology.” —April Langwell, spokesperson"
Bureau of Land Management (BLM),FED,6-10,This organization did not respond to a request for comment.
Customs and Border Protection (CBP),FED,5001+,“CBP does not use Clearview AI for its biometric entry-exit mission.” —agency spokesperson
Department of Homeland Security (DHS),FED,101-500,This organization did not respond to a request for comment.
Department of Labor (DOL): Office of the Inspector General,FED,51-100,This organization did not respond to a request for comment.
Department of Veterans Affairs,FED,51-100,"“VA is aware of potential privacy concerns associated with Clearview AI, but has yet to discover active use of the system within our department.” —Randal Noller, public affairs officer"
Drug Enforcement Administration (DEA),FED,1001-5000,"“We will not be providing comment as we do not discuss investigative techniques.” —Katherine Pfaff, spokesperson"
Drug Enforcement Administration (DEA): Philadelphia,FED,51-100,"“We will not be providing comment as we do not discuss investigative techniques.” —Katherine Pfaff, spokesperson"
Drug Enforcement Administration (DEA): Special Operations Unit,FED,101-500,"“We will not be providing comment as we do not discuss investigative techniques.” —Katherine Pfaff, spokesperson"
Federal Aviation Administration (FAA),FED,1-5,"“We are not going to comment on vague information that we are not allowed to review or verify.” —Lynn Lunsford, spokesperson"
Federal Bureau of Investigation (FBI),FED,1001-5000,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Atlanta,FED,11-50,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): California,FED,101-500,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Chicago/Joint Terrorism Task Force,FED,51-100,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Connecticut,FED,6-10,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
"Federal Bureau of Investigation (FBI): Criminal Investigation Division, Violent Crimes Against Children Section",FED,101-500,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): El Paso,FED,11-50,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Florida,FED,101-500,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Jacksonville,FED,11-50,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Kentucky,FED,6-10,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Las Vegas,FED,101-500,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Los Angeles,FED,11-50,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Mississippi,FED,1-5,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Newark,FED,1-5,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): North Carolina,FED,101-500,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Ohio,FED,501-1000,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Oklahoma,FED,51-100,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Sacramento,FED,51-100,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
"Federal Bureau of Investigation (FBI): Washington, DC",FED,51-100,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Bureau of Investigation (FBI): Wisconsin,FED,11-50,"“We don’t have a comment.” —Manali Basu, public affairs specialist"
Federal Protective Service (FPS),FED,11-50,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Fort Lee Military Police,FED,51-100,This organization did not respond to a request for comment.
Homeland Security Investigations (HSI),FED,1001-5000,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Homeland Security Investigations (HSI): El Paso,FED,101-500,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Homeland Security Investigations (HSI): John F. Kennedy International Airport Border Enforcement Security Task Force,FED,11-50,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Homeland Security Investigations (HSI): Pensacola,FED,11-50,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Immigration And Customs Enforcement (ICE),FED,1001-5000,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Immigration and Customs Enforcement (ICE): Cherry Hill,FED,101-500,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Immigration and Customs Enforcement (ICE): Enforcement and Removal Operations,FED,51-100,"“U.S. Immigration and Customs Enforcement’s (ICE) use of Clearview Al’s facial recognition technology is primarily used by Homeland Security Investigations (HSI) special agents investigating child exploitation and other cybercrime cases. HSI’s Child Exploitation Investigations Unit (CEIU) employs the latest technology to collect evidence and track the activities of individuals and organized groups who sexually exploit children using websites, chat rooms, peer-to-peer trading, and other internet-based platforms. To that extent, special agents at CEIU may review open-source information during the course of a criminal investigation to support the agency’s investigative authorities. This is an established procedure that is consistent with other law enforcement agencies.” —Danielle Bennett, spokesperson"
Internal Revenue Service (IRS): Criminal Investigation,FED,101-500,"“IRS Criminal Investigation has not procured technology from Clearview AI, however we are aware that the data you describe shows a small number of instances where persons within or related to IRS-CI have used this data in a trial manner. We are not aware of any impacts to investigations due to the use of this technology, however we will continue to look into this matter.” —Justin Cole, spokesperson"
Pentagon Force Protection Agency (PFPA),FED,1-5,"“The Pentagon Force Protection Agency has not researched nor used Clearview AI facial recognition software or any other facial recognition software to support Agency operations. Of the personnel at the Agency who would most likely use it in an official capacity, none of those individuals have downloaded or used the Clearview software. While it’s possible that some individuals in the Pentagon Force Protection Agency may have tested the Clearview AI facial recognition software on their own initiative under the 30 day free trial, it would not have been in an official capacity or part of the formal limited market research and testing of facial recognition technologies conducted by PFPA.” —Sue Gough, spokesperson"
"Social Security Administration: Office of the Inspector General, Office of Investigations",FED,11-50,"“Our policy is that we do not comment on investigative techniques.” —Tracy Lynge, communications director"
Transportation Security Administration (TSA),FED,101-500,This organization did not respond to a request for comment.
Treasury Inspector General for Tax Administration (TIGTA),FED,11-50,This organization did not respond to a request for comment.
US Air Force,FED,101-500,"“The funds obligated on Clearview AI’s Phase I contract during a Small Business Innovation Research (SBIR) Open Topic were used for the sole purpose of the company to conduct a feasibility study, the primary element of which was ‘customer discovery’ within the Air Force to determine if there was an operational need for the proposed solution. The Air Force has not entered a Phase II contract with Clearview AI, nor has it implemented or operationally utilized a tool developed by the company.” —Clay Lancaster, media operations officer"
US Army Criminal Investigation Command,FED,1001-5000,This organization did not respond to a request for comment.
US Army Threat Systems Management Office,FED,6-10,This organization did not respond to a request for comment.
US Army: Army Research Special Programs,FED,101-500,This organization did not respond to a request for comment.
US Capitol Police,FED,51-100,This organization did not respond to a request for comment.
US Coast Guard,FED,11-50,"“The Coast Guard does not use Clearview AI facial recognition technology.” —Lt. Cmdr. Brittany Panetta, spokesperson"
US Department of Defense (DOD),FED,1-5,This organization did not respond to a request for comment.
US Department of Justice (DOJ),FED,101-500,This organization did not respond to a request for comment.
US Department of Justice (DOJ): Houston Metro Internet Crimes Against Children Task Force,FED,11-50,This organization did not respond to a request for comment.
US Department of Justice (DOJ): Southern District of New York,FED,1001-5000,This organization did not respond to a request for comment.
US Department of State,FED,501-1000,"“The Diplomatic Security Service (DSS) does not comment on the specific investigative tools that it utilizes to fulfill its mission; however, we do not have a contract with Clearview AI.” —State Department spokesperson"
US Marines,FED,101-500,“We are unable to find any indication that Clearview AI has been utilized by the Marine Corps for law enforcement or other purposes.” —Capt. Andrew Wood
US Marshals Service,FED,1001-5000,"“We cannot confirm the use of any specific, sensitive equipment and techniques that may be deployed by law enforcement. To do so would allow criminal defendants to determine our capabilities and limitations in this area. With that said, it is the case that the Marshals use various investigative techniques to pursue and arrest violent felony fugitives based on pre-established probable cause in arrest warrants issued for crimes such as murder, sex offenders, robbery, drug offenses, kidnapping, escape and other criminal activities which negatively impact public safety.” —Nikki Credic-Barrett, spokesperson"
US Marshals Service: Criminal Intelligence Branch,FED,1001-5000,"“We cannot confirm the use of any specific, sensitive equipment and techniques that may be deployed by law enforcement. To do so would allow criminal defendants to determine our capabilities and limitations in this area. With that said, it is the case that the Marshals use various investigative techniques to pursue and arrest violent felony fugitives based on pre-established probable cause in arrest warrants issued for crimes such as murder, sex offenders, robbery, drug offenses, kidnapping, escape and other criminal activities which negatively impact public safety.” —Nikki Credic-Barrett, spokesperson"
US Marshals Service: Philadelphia,FED,51-100,"“We cannot confirm the use of any specific, sensitive equipment and techniques that may be deployed by law enforcement. To do so would allow criminal defendants to determine our capabilities and limitations in this area. With that said, it is the case that the Marshals use various investigative techniques to pursue and arrest violent felony fugitives based on pre-established probable cause in arrest warrants issued for crimes such as murder, sex offenders, robbery, drug offenses, kidnapping, escape and other criminal activities which negatively impact public safety.” —Nikki Credic-Barrett, spokesperson"
US Marshals Service: Rhode Island,FED,51-100,"“We cannot confirm the use of any specific, sensitive equipment and techniques that may be deployed by law enforcement. To do so would allow criminal defendants to determine our capabilities and limitations in this area. With that said, it is the case that the Marshals use various investigative techniques to pursue and arrest violent felony fugitives based on pre-established probable cause in arrest warrants issued for crimes such as murder, sex offenders, robbery, drug offenses, kidnapping, escape and other criminal activities which negatively impact public safety.” —Nikki Credic-Barrett, spokesperson"
US National Guard,FED,101-500,"“Our experts state that we do not use this technology.” —Nahaku McFadden, media operations chief"
US National Guard Bureau,FED,11-50,"“Our experts state that we do not use this technology.” —Nahaku McFadden, media operations chief"
US Naval Academy,FED,11-50,"“Naval Support Activity Annapolis security personnel used the system as part of a trial after hearing about it a Human Trafficking class. The software was never utilized in a case or to identify anyone affiliated with a case. It was only used by the investigators at NSA Annapolis. Once the trial ended it the software was deleted.” —Ed Zeigler, public affairs director"
US Naval Criminal Investigative Service,FED,11-50,This organization did not respond to a request for comment.
US Navy,FED,51-100,This organization did not respond to a request for comment.
US Park Police,FED,101-500,"“The United States Park Police have used Clearview AI as an additional investigative tool when examining criminal incidents. Currently, the Agency is not utilizing Clearview AI. The Agency’s use of Clearview AI has not led to an arrest.” —Sgt. Roselyn Norment, public information officer"
US Postal Inspection Service,FED,1001-5000,“We respectfully decline to comment on this matter at this time.” —USPIS spokesperson
US Postal Service (USPS),FED,1001-5000,This organization did not respond to a request for comment.
US Postal Service Office of Inspector General,FED,11-50,"“We have not used Clearview AI.” —Lisa Martin, general counsel"
US Probation Office: District of Utah,FED,11-50,This organization did not respond to a request for comment.
US Probation Office: Eastern District of New York,FED,11-50,This organization did not respond to a request for comment.
US Probation Office: Middle District of Florida,FED,51-100,"“We know of no probation/pretrial offices using it and we do not reference it in any of our policy or procedural manuals.” —Jackie Koszczuk, spokesperson"
US Probation Office: Western District of North Carolina,FED,11-50,This organization did not respond to a request for comment.
US Secret Service,FED,5001+,"“The US Secret Service does not comment on our protective or investigative operational means and methods.” —Justine Whelan, deputy press secretary"
US Secret Service: Birmingham,FED,1-5,"“The U.S. Secret Service does not comment on our protective or investigative operational means and methods.” —Justine Whelan, deputy press secretary"
US Secret Service: Los Angeles,FED,1-5,"“The U.S. Secret Service does not comment on our protective or investigative operational means and methods.” —Justine Whelan, deputy press secretary"
US Special Operations Command (SOCOM),FED,11-50,"“U.S. Special Operations Command does not have a contact action on record with Clearview AI in the past two years.” —Tim Hawkins, media officer"
Western States Information Network (WSIN),FED,101-500,"“We are not aware of any use of Clearview AI by the Western States Information Network (WSIN).” —Janette Gunther-Allen, deputy director"
White House Technology Office,FED,6-10,"“If a current or former staff member attempted to access more information about this product, it was not an official inquiry and was not sanctioned by the White House.” —senior White House official"
Alachua County Sheriff’s Office,FL,501-1000,This organization did not respond to a request for comment.
Apopka Police Department,FL,51-100,This organization did not respond to a request for comment.
Aventura Police Department,FL,101-500,This organization did not respond to a request for comment.
Bal Harbour Police Department,FL,6-10,This organization did not respond to a request for comment.
Bay County Sheriff’s Office,FL,101-500,"“We have reached put to a crime analyst that no longer works for us to ask if she ever used Clearview AI in a trial capacity. She said she signed up for a trial in 2018. We were hit by a cat 5 hurricane in October of that year. Due to this and the fact we suffered much damage from the storm, we could not purchase the software. Clearview AI extended the trial for about a year. We again did not make the purchase. It undoubtedly had investigative benefits, but we did not make the purchase.” —Ruth Corley, spokesperson"
Bay Harbor Islands Police Department,FL,11-50,This organization did not respond to a request for comment.
Boca Raton Police Department,FL,11-50,This organization did not respond to a request for comment.
Brevard County Sheriff,FL,6-10,This organization did not respond to a request for comment.
Broward County Sheriff’s Office,FL,1001-5000,This organization did not respond to a request for comment.
"Broward County Sheriff’s Office: Broward County Neighborhood Support Team, Central Broward District",FL,11-50,This organization did not respond to a request for comment.
Broward County Sheriff’s Office: Strategic Intelligence Division,FL,1001-5000,This organization did not respond to a request for comment.
Broward County Sheriff’s Office: Weston District,FL,1-5,This organization did not respond to a request for comment.
Citrus County Sheriff’s Office,FL,1-5,"“I was advised that we were given a trial period for the program but never used it. We do not currently use it, and a search never led to an arrest.” —Sgt. Lee Carey"
City of Coral Springs,FL,1001-5000,This organization did not respond to a request for comment.
Clay County Sheriff’s Office,FL,101-500,"“The Clay County Sheriff’s Office has used Clearview AI. Our Crime Analysis Unit uses Clearview AI to locate social media accounts associated with missing persons, individuals who threaten suicide, and suspects of criminal activity. The unit also uses the software to identify individuals in surveillance photos or victims in child pornography cases. As of now we have not had any arrests from leads using Clearview however, we have ruled people out as suspects using this software.” —Andrew Ford, public information officer"
Clearwater Police Department,FL,101-500,This organization did not respond to a request for comment.
Clermont Police Department,FL,11-50,This organization did not respond to a request for comment.
Coconut Creek Police Department,FL,101-500,"“We did have at least one officer who signed up for the free trial. We are not a client of Clearview AI at this time so that explains why nobody I asked had heard of them. To my knowledge, it didn’t help us make any arrests although I’m still researching that at this time.” —Scotty Leamon, public safety information officer"
Collier County Sheriff’s Office,FL,101-500,This organization did not respond to a request for comment.
Davie Police Department,FL,501-1000,This organization did not respond to a request for comment.
